Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
,1935,6429.27,1085.83,0.964,4088.02,2241.08,38.83,26.04,0.129,0.009,0.064
,1936,6411.54,1081.01,0.96,4072.45,2240.07,34.76,23.95,0.116,0.009,0.058
,1937,6399.28,1077.8,0.957,4061.7,2239.4,32.97,21.96,0.112,0.008,0.056
,1938,6390.35,1074.98,0.955,4053.49,2238.81,44.62,29.91,0.148,0.011,0.074
,1939,6371.94,1069.97,0.95,4037.18,2237.75,52.67,33.89,0.175,0.013,0.088
,1940,6348.92,1063.08,0.944,4015.67,2236.27,36.04,24.11,0.123,0.009,0.061
,1941,6343.36,1061.08,0.942,4010.27,2235.84,37.91,25.46,0.129,0.009,0.064
,1942,6336.82,1059.08,0.941,4004.48,2235.4,44.48,29.14,0.15,0.011,0.075
,1943,6325.31,1055.7,0.938,3994.05,2234.67,53.1,34.67,0.177,0.013,0.089
,1944,6307.49,1050.68,0.933,3977.81,2233.57,185.46,116.28,0.528,0.047,0.264
,1945,6174.96,1013.79,0.9,3856.63,2225.19,403.79,258.38,0.93,0.105,0.465
,1946,5863.6,929.61,0.826,3572.21,2203.88,602.72,373.82,1.188,0.169,0.594
,1947,5419.53,801.73,0.712,3155.4,2164.05,567.76,327.52,1.191,0.18,0.596
,1948,5073.49,686.76,0.61,2810.67,2117.49,202.38,137.62,0.711,0.072,0.355
,1949,5078.46,683.73,0.607,2811.47,2116.08,130.03,83.37,0.523,0.046,0.262
,1950,5147.93,697.39,0.619,2876.47,2122.35,419.89,237.74,1.085,0.146,0.542
,1951,4967.71,638.93,0.567,2714.29,2093.97,257.27,155.06,0.871,0.095,0.436
,1952,4940.96,631.22,0.561,2709.17,2089.9,86.76,58.54,0.394,0.032,0.197
,1953,5056.24,667.1,0.592,2842.05,2108.17,176.58,104.58,0.674,0.062,0.337
,1954,5080.31,677.56,0.602,2885.53,2113.19,320.78,191.1,0.959,0.111,0.48
,1955,4975.84,653.17,0.58,2801.97,2101.28,183.55,105.72,0.704,0.066,0.352
,1956,4999.03,659.86,0.586,2823.17,2104.62,69.87,47.55,0.322,0.025,0.161
,1957,5111.38,695.32,0.617,2934.55,2121.41,115.4,72.52,0.478,0.039,0.239
,1958,5170.86,716.02,0.636,2996.96,2130.56,104.28,70.5,0.428,0.035,0.214
,1959,5230.1,737.64,0.655,3053.5,2139.64,68.83,47.23,0.296,0.023,0.148
,1960,5312.26,764.29,0.679,3127.17,2150.22,91.39,56.41,0.376,0.029,0.188
,1961,5367.04,781.13,0.694,3176.03,2156.58,87.11,52.94,0.356,0.027,0.178
,1962,5420.4,796.58,0.707,3222.37,2162.22,90.9,58.49,0.361,0.028,0.181
,1963,5465.1,809.96,0.719,3258.07,2337.06,127.72,83.7,0.47,0.039,0.235
,1964,5474.1,813.27,0.722,3260.42,1881.95,94.43,66.31,0.364,0.029,0.182
,1965,5511.49,824.46,0.732,3289.82,1500.41,104.36,82.31,0.385,0.032,0.193
,1966,5517.9,834.39,0.741,3310.1,1335.18,111.04,91.59,0.402,0.034,0.201
,1967,5477.65,842.16,0.748,3321.62,1343.36,125.1,104.4,0.443,0.038,0.222
,1968,5375.53,846.02,0.751,3319.46,1690.98,143.78,118.48,0.501,0.043,0.25
,1969,5218.75,845.04,0.75,3299.99,2816.48,175.37,142.33,0.597,0.053,0.298
,1970,5027.7,835.76,0.742,3253.82,1543.81,197.32,159.85,0.681,0.061,0.34
,1971,4854.12,815.94,0.725,3224.8,1075.51,205.09,163.6,0.727,0.064,0.364
,1972,4697.56,784.57,0.697,3086.88,1622.95,276.45,224.29,0.921,0.09,0.46
,1973,4480.32,730.5,0.649,2823.54,4048.4,326.2,273.27,1.048,0.116,0.524
,1974,4256.77,666.33,0.592,2517.99,5365.15,407.92,332.62,1.22,0.162,0.61
,1975,4090.44,591.93,0.526,2189.5,1970.87,381.73,329.43,1.246,0.174,0.623
,1976,4132.02,537.63,0.477,1985.01,4143.73,459.48,420.27,1.398,0.231,0.699
,1977,4210.95,473.61,0.421,1936.62,3221.36,460.36,480.19,1.402,0.238,0.701
,1978,4369.72,420.97,0.374,1698.67,1032.08,511.88,535.65,1.435,0.301,0.717
,1979,4489.51,378.37,0.336,1410.95,1129.08,445.77,525.54,1.304,0.316,0.652
,1980,4563.7,391.44,0.348,1338.2,1302.63,427.3,463.9,1.276,0.319,0.638
,1981,4519.64,420.02,0.373,1653.01,1197.11,570.24,594.19,1.427,0.345,0.714
,1982,4210.5,439.73,0.391,2071.27,1095.37,628.92,595.01,1.511,0.304,0.755
,1983,3757.54,440.92,0.392,1840.45,1310.18,396.71,317.17,1.291,0.216,0.645
,1984,3492.2,449.98,0.4,2053.44,2061.18,653.21,569.53,1.624,0.318,0.812
,1985,2965.97,401.38,0.356,1907.07,2049.16,684.57,586.27,1.728,0.359,0.864
,1986,2471.1,318.23,0.283,1384.89,1972.77,454.76,438.38,1.671,0.328,0.836
,1987,2260.49,269.16,0.239,1098.13,1124.52,284.19,259.64,1.455,0.259,0.727
,1988,2275.75,236.32,0.21,958.74,1264.17,335.03,342.74,1.565,0.349,0.783
,1989,2250.94,204,0.181,819.08,1369.93,361.8,376.94,1.616,0.442,0.808
,1990,2187.51,179.42,0.159,690.71,960.78,382.64,411.39,1.648,0.554,0.824
,1991,2081.36,167.58,0.149,623.83,1122.9,393.28,409.27,1.678,0.63,0.839
,1992,1939.06,158.99,0.141,651.08,1372.25,516.36,511.08,1.809,0.793,0.904
,1993,1672.25,131.11,0.116,580.82,967.32,430.72,467.8,1.812,0.742,0.906
,1994,1481.86,114.52,0.102,536.31,2202.26,313.48,334.21,1.744,0.585,0.872
,1995,1420.38,104.82,0.093,448.64,3603.69,323.44,337.65,1.785,0.721,0.893
,1996,1414.83,90.17,0.08,376.24,1147.53,223.29,246.13,1.665,0.593,0.833
,1997,1598.47,87.99,0.078,381.66,787.21,204.92,223.67,1.613,0.537,0.806
,1998,1827.18,89.7,0.08,366.08,741.34,151.96,182.73,1.369,0.415,0.684
,1999,2065.78,103.79,0.092,423.52,1967.36,160.98,200.36,1.222,0.38,0.611
,2000,2229.11,128.7,0.114,540.42,1360.3,128.43,148.89,0.94,0.238,0.47
,2001,2383.94,172.23,0.153,616.5,1927.34,331.66,352.22,1.482,0.538,0.741
,2002,2320.84,203.03,0.18,820.46,1439.76,210.09,209.94,1.212,0.256,0.606
,2003,2378.63,235.26,0.209,1244.72,1850.56,278.34,289.69,1.403,0.224,0.702
,2004,2375.07,243.22,0.216,1155.83,1260.34,165.53,152.09,1.039,0.143,0.519
,2005,2489.76,254.52,0.226,1065.42,1449.62,198.36,187.19,1.131,0.186,0.566
,2006,2563.3,261.36,0.232,965.14,712.02,170.17,162.32,0.999,0.176,0.499
,2007,2643.43,276.05,0.245,1109.59,2026.46,192.64,181.54,1.047,0.174,0.524
,2008,2671.22,291.21,0.259,1136.99,2479.99,199.09,187.52,1.037,0.175,0.518
,2009,2697.09,307.45,0.273,1266.65,1444.21,285.9,262.57,1.28,0.226,0.64
,2010,2674.7,308.59,0.274,1230.95,1947.58,195.67,176.82,1.049,0.159,0.525
,2011,2761.46,316.99,0.282,1313.83,1215.41,145.87,131.39,0.865,0.111,0.433
,2012,2905.15,327.6,0.291,1315.94,1313.86,140.28,128.67,0.816,0.107,0.408
,2013,3033.37,338.77,0.301,1364.99,1206.92,173.29,160.94,0.899,0.127,0.449
,2014,3094.69,352.2,0.313,1258.46,1412.25,218.03,200.71,1.009,0.173,0.505
,2015,3075.4,366.42,0.325,1394.69,1084.23,259.64,237.97,1.117,0.186,0.558
,2016,2989.89,375.45,0.333,1568.16,2005.14,166.34,148.28,0.845,0.106,0.423
,2017,2978.54,393.28,0.349,1577.97,1341.72,129.77,117.32,0.707,0.082,0.353
,2018,3007.86,410.94,0.365,1708.22,1064.55,120.35,107.79,0.668,0.07,0.334
,2019,3046.81,423.42,0.376,1690.8,2006.02,140.67,124.92,0.755,0.083,0.377
,2020,3060.82,427.23,0.379,1676.93,1766.42,115.58,98.44,0.651,0.069,0.325
,2021,3115.95,431.49,0.383,1655.99,2079.57,200.18,175.9,0.962,0.121,0.481
,2022,3113.08,422.92,0.376,1619.53,1837.86,236.51,210.59,1.083,0.146,0.541
,2023,3108.98,410.22,0.364,1495.8,1923.01,NA,NA,NA,NA,NA
