Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 8+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,(1-SPR)/(1-SPR_50%),Relative Exploitation Rate (Catch/Age 8+ biomass),1 - SPR
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1875,6569.59,1126.05,1,4219.2,2249.15,0.05,0.03,0,0,0
,1876,6569.55,1126.04,1,4219.16,2249.14,0.1,0.07,0,0,0
,1877,6569.47,1126.02,1,4219.09,2249.14,0.15,0.1,0,0,0
,1878,6569.35,1125.99,1,4218.98,2249.13,0.19,0.13,0.001,0,0
,1879,6569.2,1125.95,1,4218.84,2249.13,0.24,0.17,0.001,0,0
,1880,6569.03,1125.9,1,4218.67,2249.12,0.29,0.2,0.001,0,0
,1881,6568.84,1125.85,1,4218.49,2249.11,0.34,0.23,0.001,0,0.001
,1882,6568.63,1125.79,1,4218.28,2249.1,0.39,0.26,0.001,0,0.001
,1883,6568.4,1125.73,1,4218.07,2249.08,0.44,0.3,0.001,0,0.001
,1884,6568.15,1125.66,1,4217.84,2249.07,0.48,0.33,0.002,0,0.001
,1885,6567.89,1125.59,1,4217.59,2249.06,0.53,0.36,0.002,0,0.001
,1886,6567.62,1125.51,1,4217.34,2249.04,0.58,0.4,0.002,0,0.001
,1887,6567.33,1125.43,0.999,4217.08,2249.03,0.63,0.43,0.002,0,0.001
,1888,6567.04,1125.35,0.999,4216.81,2249.01,0.68,0.46,0.002,0,0.001
,1889,6566.74,1125.27,0.999,4216.53,2248.99,0.73,0.5,0.002,0,0.001
,1890,6566.43,1125.18,0.999,4216.25,2248.98,0.78,0.53,0.003,0,0.001
,1891,6566.12,1125.09,0.999,4215.96,2248.96,0.82,0.56,0.003,0,0.001
,1892,6565.8,1125,0.999,4215.66,2248.94,0.87,0.6,0.003,0,0.001
,1893,6565.47,1124.91,0.999,4215.36,2248.92,0.92,0.63,0.003,0,0.002
,1894,6565.14,1124.82,0.999,4215.06,2248.91,0.97,0.66,0.003,0,0.002
,1895,6564.81,1124.73,0.999,4214.75,2248.89,1.02,0.7,0.003,0,0.002
,1896,6564.47,1124.63,0.999,4214.44,2248.87,1.07,0.73,0.004,0,0.002
,1897,6564.13,1124.54,0.999,4214.13,2248.85,1.11,0.76,0.004,0,0.002
,1898,6563.79,1124.44,0.999,4213.81,2248.83,1.16,0.8,0.004,0,0.002
,1899,6563.44,1124.35,0.998,4213.5,2248.81,1.21,0.83,0.004,0,0.002
,1900,6563.1,1124.25,0.998,4213.18,2248.8,1.26,0.86,0.004,0,0.002
,1901,6562.75,1124.15,0.998,4212.86,2248.78,1.31,0.89,0.004,0,0.002
,1902,6562.4,1124.06,0.998,4212.54,2248.76,1.36,0.93,0.005,0,0.002
,1903,6562.05,1123.96,0.998,4212.21,2248.74,1.41,0.96,0.005,0,0.002
,1904,6561.69,1123.86,0.998,4211.89,2248.72,1.45,0.99,0.005,0,0.002
,1905,6561.34,1123.76,0.998,4211.56,2248.7,1.5,1.03,0.005,0,0.003
,1906,6560.99,1123.66,0.998,4211.24,2248.68,1.55,1.06,0.005,0,0.003
,1907,6560.63,1123.56,0.998,4210.91,2248.66,1.6,1.09,0.005,0,0.003
,1908,6560.27,1123.46,0.998,4210.58,2248.64,1.65,1.13,0.005,0,0.003
,1909,6559.91,1123.36,0.998,4210.26,2248.62,1.7,1.16,0.006,0,0.003
,1910,6559.56,1123.26,0.998,4209.93,2248.6,1.74,1.19,0.006,0,0.003
,1911,6559.2,1123.16,0.997,4209.6,2248.58,1.79,1.22,0.006,0,0.003
,1912,6558.84,1123.06,0.997,4209.27,2248.56,1.84,1.26,0.006,0,0.003
,1913,6558.48,1122.96,0.997,4208.94,2248.54,1.89,1.29,0.006,0,0.003
,1914,6558.12,1122.86,0.997,4208.61,2248.53,1.94,1.32,0.006,0,0.003
,1915,6557.76,1122.76,0.997,4208.28,2248.51,1.99,1.36,0.007,0,0.003
,1916,6557.4,1122.66,0.997,4207.95,2248.49,2.04,1.39,0.007,0,0.003
,1917,6557.04,1122.56,0.997,4207.62,2248.47,4,2.74,0.013,0.001,0.007
,1918,6554.93,1122.04,0.996,4205.74,2248.36,9.35,6.39,0.031,0.002,0.015
,1919,6548.17,1120.37,0.995,4199.67,2248.04,2.15,1.47,0.007,0.001,0.004
,1920,6548.75,1120.38,0.995,4199.84,2248.04,2.92,2,0.01,0.001,0.005
,1921,6548.63,1120.26,0.995,4199.6,2248.02,4.38,2.99,0.015,0.001,0.007
,1922,6547.22,1119.86,0.995,4198.35,2247.94,3.26,2.23,0.011,0.001,0.005
,1923,6546.99,1119.75,0.994,4198.13,2247.92,1.07,0.73,0.004,0,0.002
,1924,6548.8,1120.15,0.995,4199.79,2248,2.92,2,0.01,0.001,0.005
,1925,6548.73,1120.15,0.995,4199.9,2248,9.48,6.48,0.031,0.002,0.016
,1926,6542.66,1118.71,0.993,4194.66,2247.71,9.35,6.4,0.031,0.002,0.015
,1927,6537.36,1117.37,0.992,4189.73,2247.45,17.74,12.14,0.058,0.004,0.029
,1928,6525.03,1114.26,0.99,4178.48,2246.84,15.81,10.9,0.052,0.004,0.026
,1929,6515.87,1111.79,0.987,4169.73,2246.34,19.47,12.85,0.065,0.005,0.033
,1930,6504.73,1108.47,0.984,4159.01,2245.68,26.47,17.89,0.087,0.006,0.044
,1931,6488.53,1104.04,0.98,4144.06,2244.8,40.6,26.82,0.133,0.01,0.066
,1932,6461.7,1096.59,0.974,4119.26,2243.29,29.61,19.71,0.099,0.007,0.049
,1933,6447.98,1092.33,0.97,4105.91,2242.42,28.41,18.21,0.096,0.007,0.048
,1934,6437.47,1088.57,0.967,4095.51,2241.64,27.25,18,0.092,0.007,0.046
