Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
,1932,322015,121436,0.651,306443,9510.81,1682.45,896.46,0.24,0.005,0.132
,1933,316142,119005,0.638,300875,9517.88,1559.08,857.8,0.226,0.005,0.124
,1934,310458,116737,0.626,295595,9424.99,2700.34,1475.16,0.378,0.009,0.208
,1935,303743,113935,0.611,289271,9831.45,3462.52,1898.76,0.476,0.012,0.262
,1936,296546,110779,0.594,282065,8787.37,2398.26,1264.09,0.364,0.009,0.2
,1937,290483,108118,0.58,276066,8730.42,2572.57,1331.36,0.398,0.009,0.219
,1938,284341,105435,0.565,270120,9640.31,2519.69,1310.84,0.398,0.009,0.219
,1939,278594,102917,0.552,264958,9428.36,2794.38,1459.57,0.442,0.011,0.243
,1940,272919,100314,0.538,258917,9155,2222.73,1176.5,0.367,0.009,0.202
,1941,268098,98098.6,0.526,253592,8703.37,2189.79,1197.75,0.362,0.009,0.199
,1942,263449,96108.7,0.515,249389,8767.09,3232.33,1872.34,0.515,0.013,0.283
,1943,257847,93808.2,0.503,244325,9020.87,3927.03,2493.88,0.595,0.016,0.327
,1944,251695,91482.7,0.49,238692,9055.75,4489.45,3001.14,0.663,0.019,0.364
,1945,245127,89051,0.477,232244,9365.65,4422.05,2915.76,0.669,0.019,0.368
,1946,238899,86551.2,0.464,225811,8870.54,4459.97,2699.24,0.701,0.02,0.386
,1947,232896,83796.1,0.449,219537,9189.08,2314.26,1271.72,0.422,0.011,0.232
,1948,229489,82083.1,0.44,215701,8365.71,2970.95,1696.88,0.514,0.014,0.283
,1949,225632,80352,0.431,212161,9789.24,3113.03,1778.51,0.54,0.015,0.297
,1950,222124,78747,0.422,208518,10305.3,2788.62,1634.12,0.492,0.013,0.27
,1951,219536,77467.9,0.415,205691,10512,4563.85,2776.17,0.712,0.022,0.392
,1952,215801,75588.8,0.405,200771,11548.1,2823.12,1714.94,0.494,0.014,0.272
,1953,214583,74611.3,0.4,198747,10938.2,1771.37,1078.39,0.333,0.009,0.183
,1954,214976,74361.2,0.399,198439,12320.5,2487.61,1528.18,0.439,0.013,0.241
,1955,215427,74136.3,0.397,198088,14593.2,2343.7,1443.32,0.413,0.012,0.227
,1956,217213,74272,0.398,199047,15010.2,3832.79,2676.03,0.571,0.019,0.314
,1957,218648,74305.2,0.398,198525,16407.3,2742.27,1709.73,0.455,0.014,0.25
,1958,222439,74779.5,0.401,199916,15668.7,1686.96,1121.68,0.281,0.008,0.155
,1959,228192,76287.8,0.409,204574,20389.9,2420.91,1576.5,0.378,0.012,0.208
,1960,234990,78047,0.418,209526,16465.5,3129.31,2049,0.454,0.015,0.25
,1961,241588,79983.7,0.429,215317,18707.2,1975.62,1288.14,0.292,0.009,0.161
,1962,250042,82854.8,0.444,221605,22094.9,2953.59,2083.03,0.382,0.013,0.21
,1963,258759,85995.6,0.461,231371,16002.8,2008.95,1357.74,0.269,0.009,0.148
,1964,267916,89591.5,0.48,238578,26044.7,2258.89,1518.3,0.283,0.009,0.156
,1965,278581,93355.3,0.5,247230,17917,2153.1,1487.13,0.26,0.009,0.143
,1966,288991,97426.6,0.522,259009,171566,2113.52,1525.16,0.246,0.008,0.135
,1967,337652,101648,0.545,265388,14272.8,5364.88,4840.67,0.468,0.02,0.257
,1968,382626,105031,0.563,277821,16070.2,3293.26,2599.95,0.271,0.012,0.149
,1969,424256,115199,0.618,285072,12679.9,5928.24,3885.46,0.446,0.021,0.245
,1970,451538,136276,0.731,429322,17093.4,5003.4,3330.36,0.389,0.012,0.214
,1971,468861,158257,0.848,446152,14335.1,4201.04,2735.41,0.298,0.009,0.164
,1972,477574,173034,0.928,455857,15873.1,7053.68,4317.64,0.449,0.015,0.247
,1973,476981,179363,0.962,453148,22352.2,6156.53,3907.92,0.426,0.014,0.234
,1974,474591,181565,0.973,450495,18159.7,9080.24,5270,0.544,0.02,0.299
,1975,467359,178922,0.959,439871,26190.7,14916.26,8262.31,0.807,0.034,0.444
,1976,455553,171681,0.92,423493,23712.4,25167.05,13453.38,1.18,0.059,0.649
,1977,435003,158590,0.85,402583,19137.5,9348.64,5629.58,0.686,0.023,0.378
,1978,430407,154973,0.831,394550,11862.5,13002.62,7733.14,0.898,0.033,0.494
,1979,420135,150630,0.808,390376,52753.2,24986.91,14345.09,1.327,0.064,0.73
,1980,406150,141039,0.756,373497,14007.7,10015.85,6814.39,0.781,0.027,0.43
,1981,405986,138606,0.743,367593,19738,12212.52,7980.92,0.88,0.033,0.484
,1982,403222,135938,0.729,353978,13121.7,19722.55,12579.91,1.168,0.056,0.642
,1983,389970,132643,0.711,367178,4364.51,15970.26,9801.06,1.053,0.043,0.579
,1984,375275,130340,0.699,353918,27184.5,15220.67,9168.29,1.023,0.043,0.563
,1985,362677,127173,0.682,344488,22705.2,15365.52,9434.56,1.077,0.045,0.592
,1986,351388,121887,0.653,329098,17405,14513.25,9084.8,1.08,0.044,0.594
,1987,341645,115865,0.621,307131,3440.51,13987.33,8775.6,1.089,0.046,0.599
,1988,329282,111116,0.596,304031,19680,11694.65,7016.56,1.007,0.038,0.554
,1989,319796,108383,0.581,300911,12409.3,11244.28,6975.82,0.979,0.037,0.538
,1990,310026,105701,0.567,294601,36325.6,9957.02,6180.81,0.925,0.034,0.509
,1991,307229,102480,0.549,277958,1494.19,10682.47,7047.18,0.986,0.038,0.543
,1992,300900,98898.6,0.53,273598,7970.01,10541.73,6671.82,0.99,0.039,0.545
,1993,292727,96535.3,0.518,264507,4139.95,8945.91,5514.4,0.89,0.034,0.49
,1994,282851,96049.3,0.515,276745,10649.1,8088.59,4715.92,0.853,0.029,0.469
,1995,272831,94623.3,0.507,262343,26786.8,8444.52,4926.71,0.898,0.032,0.494
,1996,266425,91296,0.489,251295,755.62,9172.55,5770.86,0.995,0.037,0.547
,1997,257381,86721.7,0.465,236266,568.79,8767.84,5341.04,1.055,0.037,0.58
,1998,246281,82963.5,0.445,226912,6188.1,4772.43,2899.99,0.69,0.021,0.38
,1999,237784,82063.8,0.44,235370,20769.6,7096.24,4159.84,0.951,0.03,0.523
,2000,229996,79308.5,0.425,221149,81833.2,6899.56,4262.02,0.999,0.031,0.55
,2001,241640,75123.9,0.403,205934,22222.2,6994.93,5683.56,0.974,0.034,0.536
,2002,257742,71472.4,0.383,195940,10676.1,4623.2,3503.59,0.685,0.024,0.377
,2003,274888,73061.4,0.392,201215,2441.15,5944.93,3914.2,0.711,0.03,0.391
,2004,284157,81158.7,0.435,261563,7506.34,6193.14,3853.01,0.641,0.024,0.352
,2005,287079,90611.7,0.486,275941,693.35,6571.95,3846.95,0.63,0.024,0.347
,2006,282848,96357.4,0.517,276973,2003.81,6504.51,3595.08,0.622,0.023,0.342
,2007,273794,97831.4,0.524,267315,930.26,5487.03,2913.83,0.555,0.021,0.305
,2008,262133,96692,0.518,260322,46300.6,6124.03,3168.38,0.634,0.024,0.349
,2009,259051,92969.8,0.498,245303,3500.78,7623.24,4151.1,0.803,0.031,0.441
,2010,254387,86994.8,0.466,228985,16321.4,7264.88,3980.41,0.855,0.032,0.471
,2011,252403,82231.2,0.441,212107,8874.55,6536.1,3622.91,0.972,0.031,0.534
,2012,250354,81263.9,0.436,237052,4116.68,5407.02,3189.33,0.723,0.023,0.398
,2013,247007,81988.9,0.44,229095,37796.8,4220.25,2402.68,0.591,0.018,0.325
,2014,250796,82768.8,0.444,232378,7268.36,4525.2,2630.03,0.598,0.019,0.329
,2015,253317,82489.8,0.442,228814,27643.7,5266.98,2970.84,0.679,0.023,0.374
,2016,258813,81830.7,0.439,219535,66059.4,5537.02,3198.59,0.717,0.025,0.394
,2017,276921,82908.1,0.444,240366,13137.7,5814.87,3652.19,0.66,0.024,0.363
,2018,294259,84803.5,0.455,236010,3955.65,5469.99,3297.43,0.629,0.023,0.346
,2019,306847,89431.6,0.479,249320,13835.9,5575.29,3392.92,0.565,0.022,0.311
,2020,314733,98233,0.527,299188,154839,4095.54,2500.31,0.368,0.014,0.202
,2021,355705,106760,0.572,306069,208277,5217.28,3368.4,0.435,0.017,0.239
,2022,443477,110930,0.595,299848,9122.34,6913.62,4737,0.531,0.023,0.292
,2023,525277,117519,0.63,298212,18302.3,NA,NA,NA,NA,NA
