Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,Y
Description,,Total Biomass, Female Mature Spawning Biomass,Female Mature Relative Spawning Biomass SSB/SSB0,Age 4+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,(1-SPR)/(1-SPR_45%),Relative Exploitation Rate (Catch/Age 4+ biomass),1 - SPR
Unit,,Metric Tons,Metric Tons,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1890,468356,179356,0.962,441037,17510.1,2.15,1.08,0,0,0
,1891,467055,178887,0.959,439881,17414.3,6.16,3.1,0.001,0,0
,1892,465680,178397,0.956,438677,17314.6,6.85,3.44,0.001,0,0
,1893,464234,177885,0.954,437425,17211.1,10.2,5.13,0.001,0,0.001
,1894,462717,177343,0.951,436059,17103.5,12.43,6.25,0.001,0,0.001
,1895,461130,176770,0.948,434630,16991.8,16.89,8.49,0.002,0,0.001
,1896,459474,176166,0.944,433137,16876.1,18.95,9.52,0.002,0,0.001
,1897,457750,175534,0.941,431583,16756.3,21,10.55,0.002,0,0.001
,1898,455959,174876,0.938,429967,16632.2,23.06,11.58,0.002,0,0.001
,1899,454100,174191,0.934,428290,16503.9,25.11,12.61,0.003,0,0.001
,1900,452171,173481,0.93,426550,16371.3,50.61,25.42,0.005,0,0.003
,1901,450148,172730,0.926,424722,16234.1,78.86,39.89,0.008,0,0.005
,1902,448026,171938,0.922,422803,16092.5,107.1,54.36,0.011,0,0.006
,1903,445807,171104,0.917,420791,15946.4,135.35,68.82,0.014,0,0.008
,1904,443487,170227,0.913,418688,15796,163.6,83.28,0.018,0,0.01
,1905,441067,169308,0.908,416490,15641.1,147.36,75.4,0.016,0,0.009
,1906,438589,168373,0.903,414242,15482.1,145.87,74.92,0.016,0,0.009
,1907,436037,167411,0.897,411925,15319.2,154.22,79.38,0.017,0,0.009
,1908,433399,166417,0.892,409530,15152.9,98.65,51.76,0.011,0,0.006
,1909,430737,165427,0.887,407116,14984.1,156.13,80.85,0.017,0,0.009
,1910,427937,164375,0.881,404571,14813,213.61,109.94,0.024,0.001,0.013
,1911,425002,163260,0.875,401893,14639.8,271.09,139.01,0.03,0.001,0.017
,1912,421932,162083,0.869,399086,14462.5,328.56,168.07,0.037,0.001,0.02
,1913,418732,160845,0.862,396152,14279.2,386.04,197.13,0.044,0.001,0.024
,1914,415404,159546,0.855,393095,14088.9,443.52,226.17,0.051,0.001,0.028
,1915,411947,158189,0.848,389918,13895.6,500.49,254.89,0.058,0.001,0.032
,1916,408364,156775,0.84,386623,13703.2,1334.2,673.94,0.151,0.003,0.083
,1917,403903,154867,0.83,382458,13501.5,2020.79,1069.94,0.223,0.005,0.122
,1918,398722,152615,0.818,377617,13301.3,2887.85,1478.99,0.316,0.008,0.174
,1919,392678,149827,0.803,371876,13096.1,1043.33,544.18,0.124,0.003,0.068
,1920,388452,148074,0.794,367942,12893.8,894.71,497.44,0.106,0.002,0.058
,1921,384339,146455,0.785,364157,12689.5,1197.23,663.92,0.141,0.003,0.078
,1922,379883,144686,0.776,360035,12490,810.42,422.97,0.101,0.002,0.055
,1923,375771,143067,0.767,356204,12287.2,1455.38,762.79,0.178,0.004,0.098
,1924,370991,141098,0.756,351731,12078.7,1866.01,992.77,0.226,0.005,0.124
,1925,365780,138921,0.745,346856,10725.1,2135.44,1114.6,0.262,0.006,0.144
,1926,360003,136571,0.732,341685,10780.4,1720.91,873,0.221,0.005,0.121
,1927,354402,134417,0.721,336903,10376.6,2565.37,1343.7,0.318,0.008,0.175
,1928,347718,131817,0.707,331346,10120.3,2149.66,1130.02,0.276,0.006,0.152
,1929,341250,129324,0.693,325125,10284.1,2331.57,1252.13,0.301,0.007,0.165
,1930,334562,126656,0.679,318859,10160,2593.81,1378.12,0.34,0.008,0.187
,1931,327669,123750,0.663,312117,9942.34,1428.5,774.7,0.201,0.005,0.11
