Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
,1935,1466.07,219.11,0.676,862.01,621.3,45.28,58.72,0.604,0.053,0.302
,1936,1464.54,219.23,0.676,865.16,621.6,45.07,58.45,0.604,0.052,0.302
,1937,1462.75,219.44,0.677,868.64,621.97,53.69,69.55,0.7,0.062,0.35
,1938,1451.84,218.58,0.674,865.73,621.92,38.99,50.91,0.542,0.045,0.271
,1939,1456.27,219.07,0.676,866.72,622.38,21.57,28.64,0.319,0.025,0.16
,1940,1479.01,221.52,0.683,875.68,623.55,34.68,45.82,0.48,0.04,0.24
,1941,1487.96,222.91,0.688,881.09,624.22,41.26,53.95,0.555,0.047,0.277
,1942,1489.41,223.68,0.69,885.39,624.6,13.44,17.88,0.201,0.015,0.101
,1943,1519.1,227.54,0.702,903.53,626.09,25.29,32.84,0.353,0.028,0.177
,1944,1535.79,230.43,0.711,916.26,627.24,8.45,11.33,0.125,0.009,0.063
,1945,1568.65,235.39,0.726,937.85,629.28,15.01,19.77,0.213,0.016,0.106
,1946,1593.1,239.97,0.74,958.75,631.56,20.25,26.88,0.28,0.021,0.14
,1947,1610.02,244.09,0.753,977.22,634.39,23.76,30.87,0.321,0.024,0.161
,1948,1621.37,247.52,0.764,991.72,638.24,28.23,37.54,0.379,0.028,0.189
,1949,1626.39,250.14,0.772,1001.32,643.63,40.43,53.34,0.521,0.04,0.26
,1950,1617.63,250.76,0.774,1000.94,650.02,41.85,55.76,0.543,0.042,0.271
,1951,1607.09,250.46,0.773,996.04,655.74,61.55,81.55,0.751,0.062,0.376
,1952,1576.81,247.18,0.763,978.06,655.93,78.09,101.77,0.912,0.08,0.456
,1953,1531.34,240.89,0.743,946.92,650.71,59.86,78.94,0.762,0.063,0.381
,1954,1507.83,235.85,0.728,921.28,674.96,57.12,77,0.74,0.062,0.37
,1955,1490.83,231.1,0.713,897.92,753.05,71.51,96.62,0.881,0.08,0.44
,1956,1463.71,225.04,0.694,871.21,760.17,58,80.35,0.76,0.067,0.38
,1957,1457.61,220.88,0.681,855.16,730.65,57.76,80.23,0.757,0.068,0.378
,1958,1459.62,217.29,0.67,842.53,683.18,117.77,163.36,1.243,0.14,0.621
,1959,1405.02,208.03,0.642,806.92,643.86,125.25,173.61,1.308,0.155,0.654
,1960,1344.88,197.4,0.609,763.3,625.71,66.04,94.88,0.865,0.087,0.433
,1961,1345.47,193.22,0.596,741.49,634.57,51.56,73.58,0.696,0.07,0.348
,1962,1359.78,191.84,0.592,730.34,627.9,69.69,98.1,0.868,0.095,0.434
,1963,1352.7,190.67,0.588,733.52,590.99,69.74,98.65,0.883,0.095,0.441
,1964,1341.85,190.74,0.588,748.62,599,57.11,81.03,0.774,0.076,0.387
,1965,1340.46,192.28,0.593,765.58,588.56,79.4,112.78,1,0.104,0.5
,1966,1312.52,191.43,0.591,763.41,570.55,77.82,111.31,1.011,0.102,0.505
,1967,1282.96,189.82,0.586,752.56,563.18,99.51,139.46,1.213,0.132,0.607
,1968,1228.76,184.62,0.57,724.99,608.25,106.69,149.29,1.305,0.147,0.653
,1969,1167.09,177.15,0.547,690.05,759.76,104.05,147.06,1.33,0.151,0.665
,1970,1112.71,168.76,0.521,652.01,745.96,119.66,170.33,1.472,0.184,0.736
,1971,1052.88,157.92,0.487,601.79,518.81,103.63,150.62,1.41,0.172,0.705
,1972,1020.58,148.03,0.457,558.72,402.07,164.61,242.36,1.723,0.295,0.862
,1973,929.05,132.01,0.407,492.29,427.34,110.45,173.34,1.484,0.224,0.742
,1974,885.97,122.38,0.378,451.17,501.44,140.92,215.04,1.64,0.312,0.82
,1975,803.39,111.44,0.344,403.81,558.06,118.87,176.42,1.601,0.294,0.801
,1976,739.71,102.92,0.318,369.1,1166.19,106.08,156.88,1.624,0.287,0.812
,1977,698.83,95.36,0.294,351.85,473.82,117.44,175.89,1.748,0.334,0.874
,1978,673.07,85.92,0.265,326.22,337.35,92.35,147.83,1.632,0.283,0.816
,1979,685.28,78.9,0.243,295.81,150.98,130.69,223.95,1.758,0.442,0.879
,1980,652.97,70.25,0.217,254.05,389.66,108.83,187.05,1.536,0.428,0.768
,1981,619.21,66.29,0.205,233.16,467.25,35.63,56.17,0.743,0.153,0.372
,1982,641.22,68.75,0.212,235.33,221.38,34.65,50.48,0.767,0.147,0.384
,1983,658.24,74.85,0.231,253.41,230.02,97.8,139.99,1.632,0.386,0.816
,1984,598.89,75.96,0.234,335.59,661.85,56.57,85.83,1.36,0.169,0.68
,1985,581.69,77.8,0.24,340.11,610.87,142.8,211.94,1.904,0.42,0.952
,1986,485.89,69.46,0.214,287.01,368.56,61.09,88.02,1.627,0.213,0.813
,1987,486.71,64.96,0.2,243.95,314.41,64.01,104.96,1.657,0.262,0.829
,1988,495.15,59.72,0.184,218.56,273.3,73.09,128.48,1.58,0.334,0.79
,1989,494.12,55.16,0.17,202.89,337.73,55.82,94.18,1.251,0.275,0.625
,1990,500.93,53.34,0.165,184.49,488.18,51.39,82.02,1.169,0.279,0.584
,1991,505.66,53.92,0.166,173.76,262.55,57.97,88.8,1.334,0.334,0.667
,1992,502.48,55.44,0.171,208.47,206.05,95.08,143.96,1.757,0.456,0.879
,1993,456.78,53.43,0.165,223.93,266.58,89.29,141.66,1.787,0.399,0.893
,1994,411.68,50.07,0.154,205.23,199.86,76.95,122.79,1.722,0.375,0.861
,1995,373.01,46.96,0.145,183.59,158.78,49.28,76.35,1.488,0.268,0.744
,1996,356.86,45.48,0.14,167.39,740.4,67.71,100.74,1.757,0.405,0.879
,1997,322.58,41.74,0.129,150.07,276.3,41.65,63.03,1.532,0.278,0.766
,1998,330.1,39.74,0.123,152.52,209.03,51.03,77.36,1.699,0.335,0.849
,1999,338.92,36.7,0.113,138.32,695.11,67.79,121.93,1.821,0.49,0.911
,2000,337.3,33.02,0.102,121.14,443.04,57.37,103.37,1.568,0.474,0.784
,2001,356.85,31.25,0.096,114.77,500.41,88.57,147.61,1.807,0.772,0.903
,2002,351.34,28.87,0.089,100.62,519.29,50.74,90.56,1.541,0.504,0.771
,2003,390.97,28.55,0.088,90.79,315.82,72.07,131.87,1.609,0.794,0.804
,2004,414.9,28.63,0.088,115.65,349.44,43.17,75.72,1.133,0.373,0.567
,2005,461.28,31.2,0.096,117.54,155.12,49.9,85.03,1.145,0.425,0.572
,2006,490.88,35.49,0.109,118.18,163.4,65.86,108.29,1.318,0.557,0.659
,2007,486.74,40.61,0.125,170.14,424.66,35.89,56.2,0.926,0.211,0.463
,2008,501.8,47.89,0.148,201.26,1967.5,41.19,61.9,1.075,0.205,0.537
,2009,523.34,54.9,0.169,237.49,632.07,50.64,72.51,1.357,0.213,0.678
,2010,589.06,59.47,0.183,267.67,1110.17,57.35,89.48,1.555,0.214,0.777
,2011,690.34,60.58,0.187,260.94,563.98,55.38,109.85,1.251,0.212,0.626
,2012,824.1,61.35,0.189,259.89,400.6,92.08,171.02,1.172,0.354,0.586
,2013,915.97,62.61,0.193,237.96,415.35,225.37,383.94,1.698,0.947,0.849
,2014,835.68,62.87,0.194,208.88,256.54,105.64,175.26,1.252,0.506,0.626
,2015,832.8,69.64,0.215,215.87,262.27,70.24,110.52,1.006,0.325,0.503
,2016,836.21,80.81,0.249,370.47,804.67,63.44,95.41,1.026,0.171,0.513
,2017,826.37,93.05,0.287,390.04,390.75,24.56,37.01,0.552,0.063,0.276
,2018,857.17,106.71,0.329,491.13,242.12,21.45,32.74,0.529,0.044,0.265
,2019,889.6,118.1,0.364,525.26,299.31,19.55,30.45,0.489,0.037,0.245
,2020,915.9,126.34,0.39,535.69,576.54,29.78,46.28,0.615,0.056,0.307
,2021,923.35,130.96,0.404,547.55,560.68,38.4,56.58,0.726,0.07,0.363
,2022,921.07,133.68,0.412,525.36,570.23,32.88,45.85,0.697,0.063,0.348
,2023,930.11,136.32,0.421,503.22,571.19,NA,NA,NA,NA,NA
