Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 8+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,(1-SPR)/(1-SPR_50%),Relative Exploitation Rate (Catch/Age 8+ biomass),1 - SPR
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1875,1959.46,324.13,1,1280.45,647.62,1.02,1.23,0.013,0.001,0.006
,1876,1958.41,324,1,1279.89,647.6,2.04,2.45,0.026,0.002,0.013
,1877,1956.33,323.73,0.999,1278.68,647.54,3.07,3.68,0.038,0.002,0.019
,1878,1953.28,323.29,0.997,1276.71,647.46,4.09,4.9,0.051,0.003,0.026
,1879,1949.33,322.68,0.996,1273.91,647.34,5.11,6.13,0.064,0.004,0.032
,1880,1944.58,321.9,0.993,1270.31,647.18,6.14,7.36,0.077,0.005,0.038
,1881,1939.09,320.95,0.99,1266,647,7.16,8.59,0.089,0.006,0.045
,1882,1932.96,319.84,0.987,1261.07,646.78,8.18,9.83,0.102,0.006,0.051
,1883,1926.25,318.58,0.983,1255.61,646.52,9.2,11.06,0.115,0.007,0.057
,1884,1919.04,317.2,0.979,1249.69,646.25,10.23,12.3,0.128,0.008,0.064
,1885,1911.39,315.7,0.974,1243.36,645.94,11.25,13.54,0.14,0.009,0.07
,1886,1903.34,314.1,0.969,1236.68,645.62,12.27,14.79,0.153,0.01,0.077
,1887,1894.96,312.41,0.964,1229.7,645.27,13.3,16.03,0.166,0.011,0.083
,1888,1886.27,310.64,0.958,1222.45,644.9,14.32,17.28,0.179,0.012,0.089
,1889,1877.31,308.81,0.953,1214.97,644.51,15.34,18.53,0.192,0.013,0.096
,1890,1868.12,306.92,0.947,1207.29,644.11,16.36,19.79,0.205,0.014,0.102
,1891,1858.71,304.97,0.941,1199.43,643.69,17.39,21.05,0.217,0.014,0.109
,1892,1849.12,302.98,0.935,1191.41,643.26,18.41,22.31,0.23,0.015,0.115
,1893,1839.36,300.95,0.928,1183.24,642.81,19.43,23.58,0.243,0.016,0.122
,1894,1829.44,298.88,0.922,1174.95,642.35,20.46,24.85,0.256,0.017,0.128
,1895,1819.39,296.78,0.916,1166.55,641.87,21.48,26.12,0.269,0.018,0.135
,1896,1809.21,294.65,0.909,1158.04,641.38,22.5,27.39,0.282,0.019,0.141
,1897,1798.92,292.5,0.902,1149.44,640.88,23.52,28.67,0.296,0.02,0.148
,1898,1788.52,290.32,0.896,1140.76,640.37,24.55,29.96,0.309,0.022,0.154
,1899,1778.02,288.12,0.889,1132,639.85,25.57,31.24,0.322,0.023,0.161
,1900,1767.43,285.9,0.882,1123.18,639.31,26.59,32.53,0.335,0.024,0.167
,1901,1756.76,283.67,0.875,1114.29,638.77,27.61,33.83,0.348,0.025,0.174
,1902,1746.01,281.42,0.868,1105.34,638.21,28.64,35.12,0.361,0.026,0.181
,1903,1735.19,279.15,0.861,1096.34,637.64,29.66,36.42,0.375,0.027,0.187
,1904,1724.3,276.87,0.854,1087.29,637.05,30.68,37.73,0.388,0.028,0.194
,1905,1713.34,274.58,0.847,1078.19,636.46,31.71,39.04,0.402,0.029,0.201
,1906,1702.31,272.27,0.84,1069.05,635.85,32.73,40.35,0.415,0.031,0.207
,1907,1691.22,269.96,0.833,1059.87,635.23,33.75,41.67,0.428,0.032,0.214
,1908,1680.07,267.63,0.826,1050.64,634.6,34.77,42.99,0.442,0.033,0.221
,1909,1668.86,265.29,0.818,1041.38,633.96,35.8,44.32,0.455,0.034,0.228
,1910,1657.59,262.94,0.811,1032.08,633.3,36.82,45.65,0.469,0.036,0.235
,1911,1646.27,260.59,0.804,1022.74,632.63,37.84,46.98,0.483,0.037,0.241
,1912,1634.88,258.22,0.797,1013.37,631.95,38.87,48.32,0.496,0.038,0.248
,1913,1623.44,255.85,0.789,1003.96,631.25,39.89,49.66,0.51,0.04,0.255
,1914,1611.94,253.46,0.782,994.52,630.54,40.91,51.01,0.524,0.041,0.262
,1915,1600.39,251.07,0.775,985.04,629.81,41.93,52.36,0.538,0.043,0.269
,1916,1588.78,248.67,0.767,975.54,629.07,42.96,53.72,0.552,0.044,0.276
,1917,1577.11,246.26,0.76,965.99,628.32,66.76,83.53,0.794,0.069,0.397
,1918,1541.91,241.11,0.744,944.67,626.66,77.92,97.66,0.909,0.082,0.454
,1919,1496.68,234.31,0.723,915.89,624.37,54.14,68.25,0.703,0.059,0.351
,1920,1478.26,229.92,0.709,896.61,622.83,55.23,70.04,0.718,0.062,0.359
,1921,1461.17,225.56,0.696,876.88,621.24,45.62,58.11,0.617,0.052,0.308
,1922,1456.08,222.68,0.687,864.69,620.17,39.28,50.16,0.542,0.045,0.271
,1923,1459.12,221.16,0.682,860.87,619.6,42.55,54.35,0.576,0.049,0.288
,1924,1459.73,220.03,0.679,859.86,619.16,24.9,31.8,0.359,0.029,0.18
,1925,1478.95,221.51,0.683,870.21,619.73,31.02,39.55,0.431,0.036,0.216
,1926,1491.68,223.04,0.688,880.4,620.31,49.9,63.39,0.644,0.057,0.322
,1927,1484.13,222.84,0.687,882.15,620.23,42.37,53.72,0.566,0.048,0.283
,1928,1483.7,223.34,0.689,886,620.42,51.97,66.02,0.673,0.059,0.336
,1929,1473.04,222.57,0.687,882.38,620.13,44.25,56.45,0.594,0.05,0.297
,1930,1470.34,222.34,0.686,879.5,620.04,61.98,79.02,0.781,0.07,0.391
,1931,1449.57,219.84,0.678,867.06,619.09,55.02,70.44,0.721,0.063,0.36
,1932,1436.54,217.75,0.672,856.7,618.28,42.35,54.63,0.586,0.049,0.293
,1933,1437.48,216.97,0.669,852.39,617.97,29.85,38.91,0.431,0.035,0.216
,1934,1452.1,217.82,0.672,855.55,618.3,30.68,40.08,0.436,0.036,0.218
