Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 0+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,abs F; with F=sum(full Fs),(1-SPR)/(1-SPR_30%),Relative Exploitation Rate (Catch/Age 0+ biomass),1 - SPR
Unit,,Metric Tons,Millions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate,Rate
,1896,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1897,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1898,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1899,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1900,30007.3,1198990000,1,30007.3,64798,0,0,0,0,0,0
,1901,30007.3,1198990000,1,30007.3,64798,0,0,0,0,0,0
,1902,30007.3,1198990000,1,30007.3,64797.9,0,0,0,0,0,0
,1903,30007.3,1198990000,1,30007.3,64797.8,0,0,0,0,0,0
,1904,30007.3,1198990000,1,30007.3,64797.7,0,0,0,0,0,0
,1905,30007.3,1198990000,1,30007.3,64797.5,0,0,0,0,0,0
,1906,30007.2,1198990000,1,30007.2,64797.4,0,0,0,0,0,0
,1907,30007.2,1198990000,1,30007.2,64797.2,0,0,0,0,0,0
,1908,30007.2,1198980000,1,30007.2,64797,0,0,0,0,0,0
,1909,30007.1,1198980000,1,30007.1,64796.8,0,0,0,0,0,0
,1910,30007.1,1198980000,1,30007.1,64796.6,0,0,0,0,0,0
,1911,30007,1198980000,1,30007,64796.3,0,0,0,0,0,0
,1912,30007,1198980000,1,30007,64796,0,0,0,0,0,0
,1913,30006.9,1198980000,1,30006.9,64795.6,0,0,0,0,0,0
,1914,30006.8,1198970000,1,30006.8,64795.2,0,0,0,0,0,0
,1915,30006.8,1198970000,1,30006.8,64794.8,0,0,0,0,0,0
,1916,30006.7,1198970000,1,30006.7,64794.3,222.3,1147.52,0.0189,0.082,0.007,0.057
,1917,29822.3,1189690000,0.992,29822.3,64739.6,302.8,1564.83,0.026,0.11,0.01,0.077
,1918,29592.4,1177800000,0.982,29592.4,64668.5,243.95,1262.32,0.0211,0.091,0.008,0.064
,1919,29438.7,1169420000,0.975,29438.7,64617.4,191.8,993.52,0.0167,0.073,0.007,0.051
,1920,29347.4,1164140000,0.971,29347.4,64584.5,132.6,687.39,0.0116,0.051,0.005,0.036
,1921,29317.3,1162030000,0.969,29317.3,64570.7,169,876.6,0.0148,0.065,0.006,0.045
,1922,29261.6,1158830000,0.967,29261.6,64550.1,244.4,1268.59,0.0215,0.093,0.008,0.065
,1923,29150.3,1152940000,0.962,29150.3,64512.5,245.9,1277.42,0.0218,0.094,0.008,0.065
,1924,29050.7,1147580000,0.957,29050.7,64477.8,306.6,1594.17,0.0273,0.116,0.011,0.081
,1925,28912.8,1140270000,0.951,28912.8,64430.3,304,1582.21,0.0272,0.115,0.011,0.081
,1926,28793.2,1133800000,0.946,28793.2,64387.5,300.1,1563.37,0.027,0.115,0.01,0.08
,1927,28691.3,1128190000,0.941,28691.3,64349.6,363.6,1896.06,0.033,0.137,0.013,0.096
,1928,28549.2,1120600000,0.935,28549.2,64298.2,356.7,1862.09,0.0326,0.136,0.012,0.095
,1929,28429.5,1114090000,0.929,28429.5,64253,406.2,2122.84,0.0373,0.154,0.014,0.108
,1930,28283.2,1106250000,0.923,28283.2,64198.3,379,1982.89,0.035,0.145,0.013,0.102
,1931,28176.6,1100360000,0.918,28176.6,64155.7,565.45,2962.41,0.0528,0.208,0.02,0.146
,1932,27928.4,1087440000,0.907,27928.4,64064.3,378.67,1986.59,0.0356,0.147,0.014,0.103
,1933,27863.2,1083450000,0.904,27863.2,64032.9,360.63,1893.46,0.034,0.141,0.013,0.099
,1934,27821.5,1080820000,0.901,27821.5,64010.3,455.48,2393.32,0.0432,0.175,0.016,0.122
,1935,27706.5,1074730000,0.896,27706.5,63962.7,430.16,2262.28,0.041,0.167,0.016,0.117
