Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 5+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 5+ biomass)
Unit,,Metric Tons,Millions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate
,1892,76700.4,8008.63,1,75272.7,3676.85,5.79,2.93,0.002,0
,1893,76694.2,8007.8,1,75266.9,3674.38,5.79,2.93,0.002,0
,1894,76686.7,8006.96,1,75261.2,3671.75,5.79,2.93,0.002,0
,1895,76676.4,8006.13,1,75255.6,3668.98,1.49,0.76,0.001,0
,1896,76666.6,8005.91,1,75254.5,3666.06,0.36,0.18,0,0
,1897,76653.3,8005.86,1,75242.2,3662.98,0.37,0.19,0,0
,1898,76635.2,8005.78,1,75225.2,3659.72,0.21,0.11,0,0
,1899,76612.5,8005.67,1,75203.5,3656.26,0.35,0.18,0,0
,1900,76584.9,8005.38,1,75177.2,3652.58,0.49,0.25,0,0
,1901,76552.9,8004.76,1,75146.4,3648.68,0.64,0.32,0,0
,1902,76516.8,8003.58,0.999,75111.6,3644.53,0.78,0.39,0,0
,1903,76477,8001.64,0.999,75073.2,3640.11,0.92,0.47,0,0
,1904,76433.8,7998.86,0.999,75031.4,3635.4,1.07,0.54,0,0
,1905,76387.5,7995.3,0.998,74986.7,3630.4,1.21,0.61,0,0
,1906,76338.2,7991.12,0.998,74939.1,3625.11,1.35,0.68,0.001,0
,1907,76286.3,7986.45,0.997,74888.9,3619.51,1.49,0.75,0.001,0
,1908,76231.7,7981.39,0.997,74836.3,3613.61,1.64,0.83,0.001,0
,1909,76174.6,7976.02,0.996,74781.1,3607.39,1.78,0.9,0.001,0
,1910,76114.9,7970.37,0.995,74723.5,3600.82,1.92,0.97,0.001,0
,1911,76052.6,7964.47,0.994,74663.5,3593.89,2.07,1.05,0.001,0
,1912,75987.6,7958.34,0.994,74600.9,3586.54,2.21,1.12,0.001,0
,1913,75919.9,7951.97,0.993,74535.7,3578.74,2.35,1.19,0.001,0
,1914,75849.3,7945.37,0.992,74467.7,3570.5,2.5,1.26,0.001,0
,1915,75775.7,7938.52,0.991,74396.8,3561.83,2.64,1.33,0.001,0
,1916,75698.8,7931.41,0.99,74322.9,3552.72,39.63,24.96,0.013,0.001
,1917,75580.2,7921.02,0.989,74207.5,3543.01,61.62,39.09,0.02,0.001
,1918,75434.9,7908.37,0.987,74065.5,3532.74,64.22,40.66,0.021,0.001
,1919,75283,7894.87,0.986,73917.1,3521.91,41.71,25.86,0.014,0.001
,1920,75151,7882.47,0.984,73788.8,3510.58,44.01,27.4,0.015,0.001
,1921,75013.6,7869.39,0.983,73655.2,3498.63,38.49,24.06,0.013,0.001
,1922,74878.8,7856.35,0.981,73524.5,3486.11,35.76,22.35,0.012,0
,1923,74743.5,7843.15,0.979,73393.5,3473.02,42.32,26.55,0.014,0.001
,1924,74597.9,7829.12,0.978,73252.5,3459.37,44.18,28.53,0.015,0.001
,1925,74446.5,7814.81,0.976,73105.8,3445.23,50.73,33.24,0.017,0.001
,1926,74283.9,7799.79,0.974,72948.1,3430.6,66.55,42.59,0.022,0.001
,1927,74100.1,7782.91,0.972,72769.6,3415.56,60.24,37.69,0.02,0.001
,1928,73918.2,7765.84,0.97,72593,3400.25,62.82,39.33,0.021,0.001
,1929,73729,7747.82,0.967,72409.4,3384.79,73.85,44.28,0.026,0.001
,1930,73523.7,7727.59,0.965,72209.9,3369.19,78.69,48.83,0.027,0.001
,1931,73308.6,7706.8,0.962,72000.7,3353.49,88.29,54.58,0.031,0.001
,1932,73078.5,7684.55,0.96,71776.5,3337.65,65.43,42.88,0.023,0.001
,1933,72866.6,7664.37,0.957,71570.6,3321.47,61.84,39.25,0.022,0.001
,1934,72653.4,7643.46,0.954,71363.5,3304.38,62.11,41.08,0.023,0.001
,1935,72434.7,7622.34,0.952,71150.9,3285.74,73.8,49.16,0.027,0.001
,1936,72198.3,7599.84,0.949,70920.9,3264.66,67.37,46.27,0.026,0.001
,1937,71962.8,7577.27,0.946,70692,3240.74,75.48,50.66,0.029,0.001
,1938,71712.8,7553.02,0.943,70449.1,3214.16,74.49,50.13,0.029,0.001
,1939,71457.4,7528.28,0.94,70201.6,3186.07,81.02,51.81,0.03,0.001
,1940,71188.5,7502.17,0.937,69941.4,3157.26,175.63,96.48,0.059,0.003
,1941,70817.4,7463.96,0.932,69580.2,3130.42,218.94,114.77,0.071,0.003
,1942,70397.8,7419.77,0.926,69171,3106.37,382.75,178.3,0.114,0.006
,1943,69811.6,7354.19,0.918,68595.3,3084.62,1254.46,562.31,0.31,0.018
,1944,68355.4,7182.44,0.897,67149.5,3062.09,1887.07,846.5,0.422,0.028
,1945,66296.3,6938.86,0.866,65100.1,3044.55,3813.72,1713.54,0.647,0.059
,1946,62360.8,6470.4,0.808,61173.6,3021.95,2377.54,1093.95,0.526,0.039
,1947,59987.5,6180.37,0.772,58808.8,3011.27,1345.83,614.1,0.368,0.023
,1948,58735.1,6015.99,0.751,57563.8,3012.97,1272.57,599.55,0.363,0.022
,1949,57607.4,5870.43,0.733,56443.1,3023.09,1235.85,584.23,0.361,0.022
,1950,56563.2,5736.83,0.716,55404.6,3043.2,1237.31,590.54,0.366,0.022
,1951,55561.9,5611.1,0.701,54404.6,3072.47,1223.76,601.53,0.373,0.022
,1952,54614.8,5495.84,0.686,53454.7,3112.65,1158.86,563.28,0.36,0.022
,1953,53776.9,5392.39,0.673,52610,3165.49,956.31,467.34,0.315,0.018
,1954,53188.1,5316.92,0.664,52010.5,3237.33,1172.83,571.71,0.369,0.023
,1955,52426.5,5221.22,0.652,51234.6,3333.99,1167.91,575.41,0.373,0.023
,1956,51723.8,5130.11,0.641,50512.3,3475.14,1541.02,748.99,0.453,0.031
,1957,50708.6,4999.72,0.624,49470.5,3684.83,1567.41,761.37,0.464,0.032
